"Freq [GHz]","dB(S(port1:1,port1:1)) []"
2,0.000118074535357355
2.01,0.000119747248694058
2.02,0.000121355560193609
2.03,0.000122892848444421
2.04,0.000124351766829725
2.05,0.000125724169391152
2.06,0.000127001028665275
2.07,0.000128172344594324
2.08,0.000129227043388576
2.09,0.000130152865167765
2.1,0.000130936239006317
2.11,0.000131562143810502
2.12,0.000132013953308989
2.13,0.000132273263108444
2.14,0.000132319697588394
2.15,0.000132130694021818
2.16,0.000131681260962698
2.17,0.000130943707563668
2.18,0.000129887339919772
2.19,0.000128478120069483
2.2,0.00012667828255493
2.21,0.000124445902733416
2.22,0.000121734410141032
2.23,0.000118492039182905
2.24,0.000114661208243943
2.25,0.000110177816895952
2.26,0.00010497044925644
2.27,9.89594696154251e-05
2.28,9.20559942200554e-05
2.29,8.41607203593684e-05
2.3,7.51625907965284e-05
2.31,6.49372678795205e-05
2.32,5.33453870649034e-05
2.33,4.02305544830183e-05
2.34,2.54170466966324e-05
2.35,8.70716329751714e-06
2.36,-1.01218261320127e-05
2.37,-3.13212101375149e-05
2.38,-5.51749212301481e-05
2.39,-8.2004278173024e-05
2.4,-0.000112173502885341
2.41,-0.000146096153920925
2.42,-0.000184242647580305
2.43,-0.00022714907337799
2.44,-0.000275427554713819
2.45,-0.000329778459940169
2.46,-0.000391004836930198
2.47,-0.00046002952856854
2.48,-0.000537915532632403
2.49,-0.00062589030281129
2.5,-0.000725374856523161
2.51,-0.000838018769660868
2.52,-0.000965742413030944
2.53,-0.00111078813798137
2.54,-0.00127578257518149
2.55,-0.00146381280426009
2.56,-0.00167851992988268
2.57,-0.00192421462547229
2.58,-0.00220602056800234
2.59,-0.00253005351080183
2.6,-0.00290364620121534
2.61,-0.00333563269789991
2.62,-0.0038367102398315
2.63,-0.00441990319378247
2.64,-0.00510116253765641
2.65,-0.00590014698705504
2.66,-0.00684125000300733
2.67,-0.00795496323546077
2.68,-0.00927970567895673
2.69,-0.0108643056336757
2.7,-0.0127714102745533
2.71,-0.0150822329998079
2.72,-0.0179032616099561
2.73,-0.0213758920708117
2.74,-0.0256905135636196
2.75,-0.0311075144875025
2.76,-0.0379893117188487
2.77,-0.0468504166375171
2.78,-0.0584379227124798
2.79,-0.0738650979048934
2.8,-0.0948413897338805
2.81,-0.124085561928733
2.82,-0.16610543728911
2.83,-0.228758179282229
2.84,-0.326598256635406
2.85,-0.488692933133234
2.86,-0.778834207061571
2.87,-1.35471971498483
2.88,-2.66898898798901
2.89,-6.30813144150131
2.9,-25.3763138618352
2.91,-8.33586092090625
2.92,-3.7638160702169
2.93,-2.12359173737947
2.94,-1.37472029912864
2.95,-0.97674420990515
2.96,-0.741338040429536
2.97,-0.590782734573498
2.98,-0.488696285297479
2.99,-0.416307986751187
3,-0.363162200672545
3.01,-0.323065442325059
3.02,-0.292160035194962
3.03,-0.267941220549203
3.04,-0.248725125514453
3.05,-0.233346054885412
3.06,-0.220976773772054
3.07,-0.211017825409361
3.08,-0.20302716082857
3.09,-0.196674137647581
3.1,-0.19170870883013
3.11,-0.187940342595841
3.12,-0.185223332459655
3.13,-0.183446399500187
3.14,-0.182525239114771
3.15,-0.182397128722174
3.16,-0.183017006835706
3.17,-0.184354624136934
3.18,-0.186392492809323
3.19,-0.189124445070173
3.2,-0.192554670133821
3.21,-0.196697139919984
3.22,-0.201575363585885
3.23,-0.207222433290442
3.24,-0.213681341116951
3.25,-0.221005561623703
3.26,-0.229259907408451
3.27,-0.238521677419903
3.28,-0.248882130430152
3.29,-0.26044832994709
3.3,-0.273345422778125
3.31,-0.287719432451668
3.32,-0.303740671954479
3.33,-0.321607909241276
3.34,-0.341553455631829
3.35,-0.363849394028889
3.36,-0.388815224171358
3.37,-0.416827280283684
3.38,-0.448330378399966
3.39,-0.483852284291328
3.4,-0.52402176908617
3.41,-0.569591252987947
3.42,-0.621465347919145
3.43,-0.680737024712
3.44,-0.748733686946602
3.45,-0.827076182908487
3.46,-0.917754799839094
3.47,-1.0232276580245
3.48,-1.14654879198418
3.49,-1.29153576436047
3.5,-1.4629901860357
3.51,-1.6669894457068
3.52,-1.91127500049167
3.53,-2.20577305080314
3.54,-2.56329992346109
3.55,-3.00053263088376
3.56,-3.53937760820621
3.57,-4.20897751742991
3.58,-5.04882969542219
3.59,-6.11403164810755
3.6,-7.48499678777836
3.61,-9.28744196152795
3.62,-11.7379041425947
3.63,-15.2509518206141
3.64,-20.4491261758279
3.65,-22.5716545279199
3.66,-17.3235687091183
3.67,-13.4140569276839
3.68,-10.7930939893229
3.69,-8.92171453656197
3.7,-7.52260348220612
3.71,-6.44347876325128
3.72,-5.59235967313792
3.73,-4.90950441705917
3.74,-4.35403717697745
3.75,-3.89692283019252
3.76,-3.51695819443073
3.77,-3.19832731215788
3.78,-2.92903103352063
3.79,-2.69983698259632
3.8,-2.50355542144261
3.81,-2.33452763725326
3.82,-2.18825741454571
3.83,-2.0611413122258
3.84,-1.9502685744129
3.85,-1.85327094767026
3.86,-1.76820877721353
3.87,-1.69348380194521
3.88,-1.62777181323406
3.89,-1.56997023846335
3.9,-1.51915704035191
3.91,-1.47455826834502
3.92,-1.43552227807981
3.93,-1.40149912875947
3.94,-1.37202403045066
3.95,-1.34670398126075
3.96,-1.32520693419058
3.97,-1.30725298364557
3.98,-1.29260717528347
3.99,-1.28107362954767
4,-1.27249073575063
4.01,-1.26647098941884
4.02,-1.26313267462896
4.03,-1.26239408737524
4.04,-1.26419604177392
4.05,-1.26850028651658
4.06,-1.27528831034506
4.07,-1.28456049211969
4.08,-1.29633556189508
4.09,-1.3106503485636
4.1,-1.32755979750566
